AREA,PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,EQDIASQ,SOLIDITY,CONVEX_AREA,EXTENT,ASPECT_RATIO,ROUNDNESS,COMPACTNESS,SHAPEFACTOR_1,SHAPEFACTOR_2,SHAPEFACTOR_3,SHAPEFACTOR_4,meanRR,meanRG,meanRB,StdDevRR,StdDevRG,StdDevRB,skewRR,skewRG,skewRB,kurtosisRR,kurtosisRG,kurtosisRB,entropyRR,entropyRG,entropyRB,meanH,meanS,meanV,StdDevH,StdDevS,StdDevV,skewH,skewS,skewV,kurtosisH,kurtosisS,kurtosisV,entropyH,entropyS,entropyV,meanL,meanA,meanB,StdDevL,StdDevA,StdDevB,skewL,skewA,skewB,kurtosisL,kurtosisA,kurtosisB,entropyL,entropyA,entropyB,meanY,meanCb,meanCr,StdDevY,StdDevCb,StdDevCr,skewY,skewCb,skewCr,kurtosisY,kurtosisCb,kurtosisCr,entropyY,entropyCb,entropyCr,meanXX,meanYY,meanZZ,StdDevXX,StdDevYY,StdDevZZ,skewXX,skewYY,skewZZ,kurtosisXX,kurtosisYY,kurtosisZZ,entropyXX,entropyYY,entropyZZ,ALLdaub4RR,ALLdaub4RG,ALLdaub4RB,ALLdaub4H,ALLdaub4S,ALLdaub4V,ALLdaub4L,ALLdaub4a,ALLdaub4b,ALLdaub4Y,ALLdaub4Cb,ALLdaub4Cr,ALLdaub4XX,ALLdaub4YY,ALLdaub4ZZ,CLASS
9656,451.287,206.7047,60.2333,0.9566,110.8801,0.9748,9906,0.5692,3.4317,0.5958,0.5364,0.0214,0.0062,0.2877,0.9875,200.467,220.3575,228.373,14.1697,16.2107,16.4133,-2.2867,-2.4765,-2.6031,10.8974,11.006,11.5381,-4139926016,-5094000640,-5505800704,0.5479,0.1219,0.8956,0.0117,0.0144,0.0644,0.4774,-0.3686,-2.6015,6.6619,7.0829,11.5316,3485.698,606.8022,1602.4927,220.6586,122.1791,121.5488,14.5686,1.2178,1.1639,-2.557,1.0231,0.3668,11.6578,5.9082,5.6258,-5102481408,-1385526784,-1369779072,200.953,134.477,118.8389,13.3758,1.1334,1.5307,-2.4629,-0.3936,0.8085,11.1122,5.4074,5.8645,-4158945792,-1711918848,-1303358720,0.6416,0.6987,0.8432,0.0919,0.1013,0.1207,-1.8675,-1.8837,-2.0408,8.0674,8.016,8.395,3373.0898,3175.4077,2001.1499,100.2143,110.1557,114.1601,0.274,0.061,0.4477,110.3063,61.09,60.7774,100.4573,67.2365,59.4212,0.3207,0.3493,0.4214,Jasmine
8460,362.862,149.4804,72.9154,0.873,103.7864,0.9822,8613,0.7673,2.0501,0.8074,0.6943,0.0177,0.0086,0.4821,0.9883,222.4149,221.507,226.9694,15.6354,15.7272,15.0985,-1.8723,-1.8517,-2.0173,8.662,8.4936,9.7604,-4551988736,-4512053760,-4754980352,0.6899,0.0243,0.8901,0.041,0.0114,0.0592,-15.1953,1.008,-2.0158,255.858,4.469,9.7562,2970.2271,41.8989,1481.7859,225.5474,128.9278,125.5573,14.3502,0.5374,1.1967,-1.9591,0.507,-1.0736,9.278,5.7996,3.8791,-4687934976,-1366698368,-1289233536,207.0163,130.1761,128.0001,13.4163,0.9847,0.0109,-1.8794,1.634,91.978,8.6832,6.1168,8459.9717,-3887587584,-1396128384,-1345069440,0.706,0.7365,0.836,0.1016,0.1071,0.1156,-1.3583,-1.34,-1.4323,5.5654,5.4418,6.0736,2748.3838,2590.0313,1836.892,111.131,110.6776,113.4045,0.3451,0.0122,0.4447,112.7042,64.4639,62.7806,103.4423,65.0856,64.0001,0.3525,0.3677,0.4174,Arborio
7090,401.778,190.9745,47.8482,0.9681,95.0119,0.9789,7243,0.4039,3.9913,0.5519,0.4975,0.0269,0.0067,0.2475,0.9879,211.0028,209.2172,243.3051,16.8348,17.0137,16.5673,-1.1905,-1.0962,-3.5714,8.2161,7.8495,18.2146,-3406152960,-3344492800,-4638901760,0.6757,0.1402,0.9541,0.0159,0.0426,0.065,-9.1756,-0.907,-3.5718,491.8221,3.0108,18.2163,2534.2905,562.7684,524.4398,216.3327,133.646,111.3221,15.4105,1.9347,5.2984,-1.4787,-0.8008,0.9358,9.4415,3.0026,2.9616,-3591194368,-1240157312,-830580864,199.4769,142.556,126.2124,14.2246,4.5746,0.8485,-1.4714,-0.9914,0.6908,9.1941,3.0725,4.1306,-3007409408,-1431155072,-1092871040,0.6652,0.6666,0.9495,0.1028,0.1099,0.1244,-0.916,-0.503,-2.7939,6.5239,5.5612,12.7174,2403.9243,2375.5,376.5458,105.5163,104.6227,121.6673,0.3379,0.0701,0.4771,108.1829,66.8249,55.6618,99.7488,71.2777,63.1077,0.3326,0.3333,0.4748,Basmati
6208,300.124,113.9325,70.6069,0.7848,88.906,0.9658,6428,0.763,1.6136,0.8661,0.7803,0.0184,0.0114,0.6089,0.9826,192.4304,193.4647,217.5749,16.7137,16.7485,20.8058,-1.0888,-1.1689,-0.953,7.075,7.3589,6.0877,-2441518848,-2470182400,-3200431616,0.6602,0.1159,0.8532,0.0134,0.021,0.0816,-0.0091,-0.4055,-0.9532,5.1233,2.6799,6.0883,2244.5889,363.1279,1326.7743,200.6076,131.2057,115.8138,15.8721,1.0888,2.8763,-1.2789,-0.7841,0.3857,7.9006,3.2708,2.2271,-2670034688,-1042457024,-792008000,184.2639,138.6814,125.6313,14.7059,2.6206,0.959,-1.1309,-0.2995,0.5161,7.1897,2.2377,3.3867,-2216964608,-1178308352,-947237376,0.5423,0.5525,0.7472,0.1007,0.1011,0.1495,-0.331,-0.366,-0.2465,4.302,4.3919,3.8958,2127.1536,2138.3855,1693.7706,96.1509,96.6665,108.7145,0.3301,0.0579,0.4263,100.2403,65.6016,57.9108,92.0734,69.3383,62.8181,0.2708,0.2759,0.3731,Karacadag
7116,411.103,197.0442,46.7342,0.9715,95.186,0.9679,7352,0.4445,4.2163,0.5291,0.4831,0.0277,0.0066,0.2334,0.9839,220.4643,219.7271,233.9571,17.0058,17.1328,17.1431,-1.4424,-1.3917,-2.2873,8.2744,8.0089,10.8301,-3760649216,-3733840128,-4278392576,0.6749,0.0616,0.9175,0.033,0.0216,0.0672,-11.5425,-0.2057,-2.2867,251.2541,2.5078,10.8279,2536.1685,159.5944,944.8087,224.3814,130.2458,120.955,15.6081,1.0685,2.5661,-1.6004,-0.227,0.1983,8.8914,2.3976,2.608,-3902695680,-1175733888,-999072256,206.2837,134.1259,127.1068,14.6121,2.2874,0.6186,-1.5333,-0.2461,0.0314,8.4752,2.5767,3.561,-3248096512,-1254712064,-1114071936,0.7062,0.729,0.8876,0.1117,0.1177,0.1322,-0.8772,-0.7344,-1.5199,5.7844,5.467,7.1826,2275.1724,2167.9358,1016.8309,110.1469,109.7777,116.9056,0.3375,0.0309,0.4585,112.1123,65.1236,60.4705,103.0664,67.069,63.5517,0.3526,0.3639,0.4432,Basmati
6276,288.886,108.0128,74.3469,0.7254,89.3916,0.9866,6361,0.7821,1.4528,0.945,0.8276,0.0172,0.0118,0.6849,0.9951,200.5926,201.539,220.327,12.981,13.1643,14.4599,-1.7771,-1.9126,-2.4045,13.1127,13.4688,14.8149,-2691750912,-2719885568,-3305309696,0.6583,0.0904,0.864,0.0359,0.0176,0.0567,-15.6128,-2.0503,-2.4046,288.4239,8.0338,14.8148,2263.6189,250.688,1317.2651,207.8061,130.4356,118.4406,12.2764,0.8128,2.0506,-2.1234,-0.6941,1.7599,14.7716,3.6033,6.4674,-2905483264,-1040243136,-841017408,190.6848,136.3888,126.1769,11.3242,1.8227,0.7154,-1.9696,-1.7883,0.7397,13.678,6.5886,5.5573,-2407175680,-1147994624,-966781312,0.5831,0.5994,0.7685,0.078,0.0808,0.1025,-0.9671,-0.8886,-1.3672,8.2236,8.1286,8.6199,2233.1528,2231.7766,1799.2866,100.3386,100.8154,110.1955,0.329,0.0451,0.4321,103.9435,65.2161,59.2272,95.3793,68.1879,63.0889,0.2918,0.3,0.3845,Karacadag
5832,282.75,108.9852,68.6358,0.7768,86.1715,0.9846,5923,0.7172,1.5879,0.9167,0.7907,0.0187,0.0118,0.6252,0.9927,196.9539,198.3966,223.2757,13.531,13.3429,14.4934,-1.3745,-1.6931,-2.839,12.541,14.0604,17.9,-2404715776,-2442817024,-3161604352,0.658,0.1183,0.8756,0.0121,0.0254,0.0568,-0.5867,-0.8328,-2.8388,10.8568,3.5133,17.899,2111.8586,353.8503,1139.1331,205.1771,131.1507,115.3078,12.479,1.0357,2.9463,-1.9653,-1.0135,0.8106,15.4777,3.6364,3.2203,-2626476032,-978405504,-736906944,188.453,139.0838,125.382,11.4905,2.6026,0.9263,-1.8059,-0.7718,0.551,14.4114,3.3278,3.2472,-2180460288,-1114019712,-885970048,0.5702,0.5815,0.7864,0.0784,0.0811,0.1022,-0.6623,-0.4989,-1.6319,9.0862,8.9708,10.5963,2066.6541,2067.873,1590.8721,98.4916,99.2129,111.6422,0.329,0.0591,0.4378,102.6024,65.5722,57.658,94.2369,69.5378,62.6923,0.2852,0.2909,0.3933,Karacadag
6628,311.431,119.7466,72.0507,0.7987,91.8642,0.9687,6842,0.7201,1.662,0.8588,0.7672,0.0181,0.0109,0.5885,0.9781,199.5158,198.2761,228.2932,16.3068,16.3673,19.252,-1.418,-1.336,-1.7992,8.6015,8.3049,9.1617,-2818311168,-2780603392,-3785643008,0.6737,0.1312,0.8953,0.0074,0.0217,0.0755,0.4575,-1.3239,-1.7987,5.7726,4.8573,9.1605,2375.5295,467.4392,1074.7855,205.9191,132.7379,113.1409,15.39,0.9514,2.852,-1.5445,-0.8535,1.5255,9.2806,6.6448,4.8641,-3015822080,-1141816704,-803066688,189.533,141.0192,126.2704,14.2555,2.6164,0.573,-1.4304,-1.4269,1.3706,8.5672,4.4955,4.8268,-2515478016,-1305183360,-1022659712,0.5856,0.5892,0.8265,0.0996,0.1008,0.1419,-0.6723,-0.5776,-0.9666,5.2324,5.0764,5.541,2312.9353,2310.0205,1395.7031,99.7556,99.1351,114.1353,0.3369,0.0656,0.4476,102.9598,66.3673,56.5769,94.7647,70.5043,63.1351,0.2928,0.2945,0.4131,Karacadag
5251,327.214,151.267,45.0754,0.9546,81.7666,0.9771,5374,0.4392,3.3559,0.6163,0.5405,0.0288,0.0086,0.2922,0.9805,205.4121,206.8408,220.6035,11.6902,11.6462,12.2826,-1.5722,-1.8322,-2.1769,14.4551,15.425,15.5161,-2369381632,-2405363200,-2768878592,0.6509,0.07,0.8651,0.0221,0.0102,0.0482,-9.4012,-1.0197,-2.1765,293.2888,8.0381,15.5152,1905.9359,138.1967,1106.9557,212.2287,129.2961,120.7848,10.8036,0.8286,1.248,-1.9938,1.2974,0.7328,16.3407,4.9856,6.3897,-2542645248,-853671552,-734609344,194.6585,134.294,126.2348,10.0368,1.1197,0.6285,-1.8385,-0.6388,1.4953,15.3575,6.1468,5.3333,-2104771328,-928161984,-809698176,0.6084,0.6308,0.7739,0.0722,0.0749,0.0901,-0.6565,-0.6318,-1.0806,10.4054,10.5922,10.1773,1878.9753,1866.5417,1510.7349,102.7429,103.4492,110.3302,0.3256,0.035,0.4327,106.1438,64.651,60.395,97.3562,67.1464,63.1217,0.3045,0.3156,0.3873,Jasmine
12769,447.83,184.4764,88.6296,0.877,127.5068,0.9804,13024,0.6733,2.0814,0.8001,0.6912,0.0144,0.0069,0.4777,0.9944,241.9687,239.3892,227.7712,13.7546,13.5528,14.1247,-3.2301,-3.0847,-1.9053,17.147,16.5054,10.5182,-8240418304,-8049680896,-7227113472,0.1443,0.0588,0.9491,0.0798,0.0261,0.0537,7.8058,1.3714,-3.2231,72.614,10.2144,17.118,979.5741,272.1093,1099.6158,241.0229,127.3785,134.0715,12.2907,0.8472,2.7247,-3.1951,0.6766,0.9436,17.3972,4.3077,7.8011,-8163857408,-2008592768,-2249811712,221.1211,122.4681,130.127,11.6247,2.4958,1.1698,-3.0565,-0.9371,1.3758,16.3668,7.8028,10.2247,-6764806656,-1842553088,-2105539584,0.8196,0.8683,0.8607,0.0938,0.0991,0.1087,-2.3485,-2.4023,-1.3742,11.385,11.6433,7.5803,3144.6204,2404.9194,2451.3518,120.9488,119.6638,113.8503,0.0722,0.0294,0.4744,120.4814,63.6868,67.0376,110.5329,61.2325,65.0609,0.4096,0.434,0.4301,Ipsala
5392,326.326,142.1714,48.9332,0.9389,82.8572,0.962,5605,0.4897,2.9054,0.6363,0.5828,0.0264,0.0091,0.3397,0.9868,205.1882,207.0109,217.7604,13.66,13.9325,14.506,-2.5698,-2.6586,-2.7013,14.4391,14.4463,14.0144,-2430826240,-2478609408,-2768389120,0.6413,0.0584,0.854,0.0305,0.0109,0.0569,-10.1302,-0.8901,-2.7015,219.7709,6.5888,14.0152,1962.1781,106.3318,1196.9885,212.1758,128.8183,122.4553,12.9602,0.7859,1.1879,-2.7877,0.8981,0.7659,15.2205,4.9849,6.0015,-2613226240,-869459392,-777553408,194.3806,133.1248,126.2366,11.935,1.2518,0.6036,-2.6533,-0.7842,1.5861,14.4483,3.6152,5.6544,-2157549056,-934913024,-831464768,0.6055,0.6309,0.7556,0.0808,0.0845,0.1006,-1.7491,-1.7495,-1.8945,10.5413,10.559,10.244,1920.2216,1904.635,1603.4874,102.6414,103.5532,108.9126,0.3206,0.0291,0.4271,106.1298,64.4063,61.2351,97.2295,66.5564,63.1191,0.3031,0.3159,0.3782,Jasmine
14835,488.965,196.5303,97.3891,0.8686,137.4355,0.972,15263,0.691,2.018,0.7797,0.6993,0.0132,0.0066,0.489,0.9869,223.8901,221.0785,216.7765,11.2046,10.8259,10.6648,-2.8737,-2.8401,-2.577,19.4993,20.0006,19.2004,-8073349120,-7852429312,-7522560000,0.1159,0.0319,0.8781,0.1123,0.0104,0.0438,6.4213,0.2623,-2.8653,46.9327,4.5426,19.5101,751.9811,110.1594,2898.8401,225.0465,128.374,130.5309,9.9579,0.6724,1.0946,-3.0379,-0.1832,0.9117,21.4459,3.841,5.0924,-8159097344,-2373950720,-2462956288,206.186,125.5925,129.6925,9.3428,0.9782,0.6917,-2.8581,-0.7869,0.1598,20.0216,5.2092,5.1378,-6739020800,-2262039552,-2428068864,0.6932,0.7284,0.7612,0.0704,0.0738,0.0776,-1.8028,-1.8048,-1.5198,13.2393,13.3078,12.9955,5068.4609,4809.9736,4483.3818,111.9373,110.5338,108.3829,0.0579,0.0159,0.439,112.5167,64.1865,65.265,103.0871,62.7967,64.8453,0.3466,0.3642,0.3806,Ipsala
